Biweekly_Total,Biweekly_Govt,Biweekly_Emp
245.73000000000002,184.3,61.43
540.59,405.44,135.15
651.15,488.36,162.79
831.16,623.37,207.79
722.79,542.09,180.7
329.58,247.19,82.39
1591.6,778.03,813.57
697.9,324.76,373.14
1575.82,711.17,864.65
610.15,324.76,285.39
1377.44,711.17,666.27
1391.23,778.03,613.2
650.86,324.76,326.1
1469.92,711.17,758.75
1484.59,778.03,706.56
643.12,324.76,318.36
1465.9299999999998,778.03,687.9
1451.73,711.17,740.56
1579.27,778.03,801.24
692.8,324.76,368.04
1563.62,711.17,852.45
479.52,324.76,154.76
1057.72,778.03,279.69
1037.02,711.17,325.85
751.8299999999999,324.76,427.07
1673.48,711.17,962.31
1690.24,778.03,912.21
978.14,733.61,244.53
427.40999999999997,320.56,106.85
898.21,673.66,224.55
1578.08,711.17,866.91
685.64,324.76,360.88
1609.6100000000001,778.03,831.58
1018.66,324.76,693.9
2492.21,711.17,1781.04
2517.13,778.03,1739.1
2788.52,778.03,2010.49
2760.91,711.17,2049.74
1207.23,324.76,882.47
2306.52,711.17,1595.35
2329.5699999999997,778.03,1551.54
960.85,324.76,636.09
2144.56,711.17,1433.39
887.98,324.76,563.22
2166.0,778.03,1387.97
2115.13,711.17,1403.96
2136.3,778.03,1358.27
921.77,324.76,597.01
924.68,324.76,599.92
2124.91,711.17,1413.74
2146.19,778.03,1368.16
581.51,436.13,145.38
276.7,207.53,69.17
633.26,474.95,158.31
729.9300000000001,324.76,405.17
1638.69,711.17,927.52
1671.49,778.03,893.46
1387.62,711.17,676.45
1415.42,778.03,637.39
618.0899999999999,324.76,293.33
572.5,324.76,247.74
1285.5,711.17,574.33
1311.1799999999998,778.03,533.15
659.53,324.76,334.77
1483.88,711.17,772.71
1513.56,778.03,735.53
1776.7599999999998,711.17,1065.59
786.0699999999999,324.76,461.31
1794.47,778.03,1016.44
1236.75,778.03,458.72
540.18,324.76,215.42
1167.1599999999999,711.17,455.99
680.97,510.73,170.24
289.78,217.34,72.44
643.3,482.48,160.82
706.4300000000001,529.82,176.61
300.6,225.45,75.15
667.35,500.51,166.84
1134.8899999999999,778.03,356.86
1030.42,711.17,319.25
458.53,324.76,133.77
765.23,573.92,191.31
318.84999999999997,239.14,79.71
701.47,526.1,175.37
535.91,401.93,133.98
584.63,438.47,146.16
243.6,182.7,60.9
575.29,431.47,143.82
239.71,179.78,59.93
527.35,395.51,131.84
366.09999999999997,274.58,91.52
869.8199999999999,652.37,217.45
732.18,549.14,183.04
990.13,742.6,247.53
412.7,309.53,103.17
876.62,657.47,219.15
1002.76,711.17,291.59
1103.04,778.03,325.01
466.4,324.76,141.64
800.04,600.03,200.01
372.11,279.08,93.03
880.02,660.02,220.0
464.91999999999996,324.76,140.16
1115.75,778.03,337.72
976.28,711.17,265.11
849.6899999999999,637.27,212.42
383.95,287.96,95.99
892.15,669.11,223.04
529.89,324.76,205.13
1160.75,711.17,449.58
1274.15,778.03,496.12
751.95,563.96,187.99
915.4200000000001,686.57,228.85
311.69,233.77,77.92
631.9,473.93,157.97
574.54,430.91,143.63
267.26,200.45,66.81
630.3399999999999,324.76,305.58
1328.08,778.03,550.05
1269.85,711.17,558.68
390.01,292.51,97.5
865.8199999999999,649.37,216.45
865.8199999999999,649.37,216.45
420.72,315.54,105.18
1103.08,778.03,325.05
1046.9299999999998,711.17,335.76
1575.69,778.03,797.66
1560.1100000000001,711.17,848.94
712.48,324.76,387.72
379.17,284.38,94.79
900.89,675.67,225.22
758.34,568.76,189.58
401.3,300.98,100.32
862.79,647.09,215.7
919.9200000000001,689.94,229.98
433.21999999999997,324.76,108.46
931.4300000000001,698.57,232.86
996.4200000000001,747.32,249.1
796.41,597.31,199.1
748.4200000000001,561.32,187.1
348.6,261.45,87.15
171.88,128.91,42.97
71.2,53.4,17.8
190.87,143.15,47.72
980.36,735.27,245.09
392.14,294.11,98.03
862.71,647.03,215.68
